α
Αʹ
ἀ
ἁ
ἄ
ἅ
ἃ
ᾇ
ᾳ
ἆ
α΄
ἀαγὲς
αᾇεὶ
ἄαπτοι
ἀάπτους
ἀασάμην
ἀάσατο
ἀασθῇ
ἀάσθη
ἀάσθης
ἀάσχετον
ἀάτῃσιν
ἄατόν
αᾇῶ
Ἀβαῖσι
ἀβακχεύτοισιν
Ἄβαντας
Ἄβαντες
Ἄβαντος
ἀβάπτιστός
Ἀβαρβαρέη
ἀβασανίστως
ἀβασίλευτον
ἄβατον
ἀβεβαίοις
ἀβέβαιος
ἀβεβαίου
ἀβελτερίας
ἀβέλτεροι
ἀβελτερώτατοι
ἀβλαβεῖ
ἀβλαβείᾳ
ἀβλαβῆ
ἀβλαβὴς
ἀβλεμὲς
Ἄβληρον
ἀβλῆτα
ἀβληχρὸς
ἀβολήσομεν
ἀβουλήτους
ἀβουλίαν
ἄβουλον
ἄβουλος
ἀβούλως
ἁβροδίαιτον
ἁβρὸν
ἁβροπήνων
ἁβρότατος
ἁβρότητ
Ἁβρότητος
ἄβροχος
ἅβρυνε
ἁβρύνεται
Ἁβρώνιχός
ἁβρῶς
ἄβρωτα
ἄβυσσον
Αγ
ἄγ
ἄγ΄
ἄγα
ἄγαγ
ἄγαγε
ἀγάγεθ
ἀγαγεῖν
ἀγαγέσθαι
ἀγάγῃσιν
ἄγαγον
ἀγαγόντ
ἀγαγόντα
ἀγαγοῦσα
ἀγάγωμι
ἀγαγὼν
ἀγάγωσι
ἀγάθ᾿
ἀγαθά
ἀγαθὰ
ἀγαθαῖς
ἀγαθὰν
ἀγαθᾶν
ἀγαθὰς
ἀγαθᾶς
ἀγαθέ
ἀγαθέᾳ
ἀγαθή
ἀγαθὴ
ἀγαθῇ
ἀγαθἢ
ἀγαθῆι
ἀγαθὴν
ἀγαθῆς
ἀγαθοεργοὶ
ἀγαθοεργῶν
ἀγαθοί
ἀγαθοὶ
ἀγαθοῖο
ἀγαθοῖς
ἀγαθοῖσι
ἀγαθοῖσιν
Ἀγαθοκλεῖ
Ἀγαθοκλέους
ἀγαθόν
ἀγαθὸν
ἀγαθός
ἀγαθὸς
ἀγαθοῦ
ἀγαθούς
ἀγαθοὺς
ἀγαθῷ
ἀγαθῶ
ἀγαθῶν
Ἀγάθων
Ἀγάθωνα
Ἀγάθωνά
Ἀγάθωνας
Ἀγάθωνι
Ἀγάθωνος
ἀγαίεται
ἀγαιομένη
ἀγακλέα
ἀγακλειτὸν
Ἀγακλῆος
ἀγακλυτὰ
ἀγακλυτὸν
ἀγάλακτες
ἀγάλακτον
ἀγάλλεσθε
ἀγάλλῃ
